Bib,Zip,Age,Age Group,Gender,First Half,Second Half,Finish,Positive Split,Percent Change,Avg Max Temp,Max Temp,Min Temp,Avg Min Temp,Max Min Temp,Min Min Temp,Avg Mean Temp,Max Mean Temp,Min Mean Temp
505,1776,28,Under 35,M,4308,4724,9032,416,0.096564531,54.41090027,68.5589,36.4289,38.23490027,50.288902,32.3789,45.43539987,57.3389,35.090153
2293,20005,31,Under 35,M,4435,4597,9032,162,0.036527621,65.48449967,82.5125,52.6325,47.08850013,60.2825,37.1525,55.4562476,68.71999,44.667496
279,2138,25,Under 35,M,4262,4782,9044,520,0.122008447,54.18379947,70.593796,38.1938,38.48779967,51.333797,32.1638,45.6145492,58.455044,36.73505
398,63123,34,Under 35,M,4497,4548,9045,51,0.011340894,68.0684004,84.0164,48.1064,47.68639993,63.3164,33.6164,57.03690213,71.0339,43.70015
1041,2109,30,Under 35,M,4451,4599,9050,148,0.033250955,54.24230053,70.6523,38.2523,38.54630013,51.3923,32.2223,45.67304927,58.513546,36.793552
332,5672,34,Under 35,M,4413,4647,9060,234,0.053025153,50.8361,64.0301,33.7901,33.03410007,48.9101,25.0601,40.6408512,55.1651,31.0376
325,2138,25,Under 35,M,4400,4661,9061,261,0.059318182,54.18379947,70.593796,38.1938,38.48779967,51.333797,32.1638,45.6145492,58.455044,36.73505
339,97703,30,Under 35,M,4311,4757,9068,446,0.103456275,55.83439967,69.9944,38.4044,32.6984,43.6244,21.0344,42.1553996,51.1019,31.106903
348,60013,29,Under 35,M,4403,4668,9071,265,0.060186237,56.4077,78.2717,35.611702,40.17770027,59.5517,30.2117,47.46994967,66.4142,34.366703
396,22903,26,Under 35,M,4275,4801,9076,526,0.123040936,68.71879913,84.7868,53.8268,46.44680027,58.0568,34.026802,56.51755007,67.4018,45.363056
684,48198,29,Under 35,M,4476,4608,9084,132,0.029490617,58.63729967,76.061295,45.8213,39.50929987,47.8913,31.8713,48.12905093,59.201305,39.16505
740,20010,22,Under 35,M,4465,4621,9086,156,0.03493841,65.18029907,82.2083,52.3283,46.7842996,59.9783,36.8483,55.15204773,68.415794,44.363297
979,11207,24,Under 35,M,4506,4581,9087,75,0.016644474,57.86780087,76.9298,45.2498,42.48380053,54.3398,34.8998,49.55005013,64.58105,41.833553
565,44126,36,35-39,M,4357,4732,9089,375,0.086068396,59.3758998,75.6779,42.6479,42.67790047,52.907898,33.4679,49.51840047,61.851643,38.39165
373,98107,40,40-44,M,4463,4628,9091,165,0.036970648,55.3543998,61.5164,48.6464,42.61639973,46.0364,39.1964,47.60339847,52.475143,44.285152
417,64158,34,Under 35,M,4489,4603,9092,114,0.025395411,68.45030027,83.7023,53.5523,46.4483,61.2023,31.9523,56.4875488,72.09979,45.392303
436,60914,25,Under 35,M,4489,4603,9092,114,0.025395411,60.077299,77.59129,39.8813,41.70530013,59.7713,26.2913,49.97005087,67.20005,36.090054
1276,1609,23,Under 35,M,4541,4557,9098,16,0.003523453,53.6852,69.0512,35.3012,37.58120013,51.4112,29.3612,44.85945107,56.574955,33.879955
914,19809,31,Under 35,M,4333,4766,9099,433,0.099930764,62.665999,79.682,49.711998,43.46600007,56.822,33.062,52.51449913,65.608246,43.5695
